Doctor ID,Name,Specialization,Experience,Location,Contact Information,Availability,Consultation Fee
D020,Dr. Rajat Singh,"['Hearing Loss', 'Allergy', 'Headaches', 'Post Polio Syndrome']",14,Chennai,+91 5432109876,11 AM - 7 PM,INR 1125
D021,Dr. Isha Pradhan,"['Constipation', 'Dyspepsia', 'Major Depressive Disorder', 'Polymyositis', 'Bell's Palsy']",29,Chennai,+91 8765432109,10 AM - 6 PM,INR 675
D022,Dr. Akash Tiwari,"['Post Traumatic Stress Disorder', 'Fibromyalgia']",13,Delhi,+91 6543210987,10 AM - 6 PM,INR 778
D023,Dr. Suman Joshi,"['Sacroiliitis', 'Ascites']",16,Pune,+91 5432109876,11 AM - 7 PM,INR 1073
D024,Dr. Maya Shetty,"['Ulcerative Colitis', 'Odontalgia – Toothache', 'Diaper Rash']",23,Pune,+91 5432109876,11 AM - 7 PM,INR 1161
D025,Dr. Swara Ghosh,"['Dizziness', 'Back Pain', 'Frozen Shoulder']",30,Bangalore,+91 7654321098,9 AM - 5 PM,INR 350
D026,Dr. Mohit Bajaj,"['Headaches', 'Hepatitis B', 'Bartholin Gland Cancer', 'Indigestion']",5,Delhi,+91 6543210987,8 AM - 4 PM,INR 999
D027,Dr. Soham Rao,"['Blood Clotting', 'Chronic Gastritis', 'Chest Pain']",16,Hyderabad,+91 5432109876,9 AM - 5 PM,INR 478
D028,Dr. Arjun Nair,"['Lichen Amyloidosis', 'Autism']",11,Pune,+91 8765432109,9:30 AM - 5:30 PM,INR 576
D029,Dr. Ruchi Mathur,"['Neurodermatitis', 'Primary Sclerosing Cholangitis', 'Stress']",27,Hyderabad,+91 6543210987,10 AM - 6 PM,INR 808
D030,Dr. Gaurav Chopra,"['Down Syndrome', 'Anemia']",18,Delhi,+91 9876543210,9 AM - 5 PM,INR 774
D031,Dr. Sneha Khanna,"['Sarcoidosis', 'Autism']",14,Chennai,+91 7654321098,10 AM - 6 PM,INR 1046
D032,Dr. Ishaan Mehta,"['Bell's Palsy', 'Autism', 'Lichen Amyloidosis', 'Swollen Lymph Nodes']",22,Chennai,+91 8765432109,9 AM - 5 PM,INR 525
D033,Dr. Aisha Menon,"['Parkinson's Disease', 'Constipation', 'Human Papillomavirus Infection (HPV)', 'Leukocytoclastic Vasculitis (LCV)']",20,Mumbai,+91 8765432109,10 AM - 6 PM,INR 495
D034,Dr. Manish Das,"['Psoriasis', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Henoch-Schonlein Purpura (HSP)', 'Swollen Lymph Nodes', 'Anemia']",11,Delhi,+91 5432109876,8 AM - 4 PM,INR 1495
D035,Dr. Soham Rao,"['Autoimmune Disorder', 'Menstrual Irregularities and Its Solution with Ayurveda', 'Hypocortisolism']",21,Chennai,+91 9876543210,9 AM - 5 PM,INR 680
D036,Dr. Aarav Sharma,"['Atrial Fibrillation', 'Dandruff']",12,Pune,+91 9876543210,10 AM - 6 PM,INR 320
D037,Dr. Mohit Bajaj,"['Blood Disorders', 'Chronic Fatigue Syndrome', 'Liver Cirrhosis']",22,Delhi,+91 8765432109,11 AM - 7 PM,INR 548
D038,Dr. Sameer Iyer,"['Hypertension / High Blood Pressure', 'Gallstones']",30,Pune,+91 8765432109,9 AM - 5 PM,INR 1479
D039,Dr. Arjun Nair,"['Malaria', 'Piles']",8,Mumbai,+91 5432109876,10 AM - 6 PM,INR 497
D040,Dr. Nidhi Mahajan,"['Interstitial Cystitis', 'Typhoid', 'Diarrhea', 'Pneumonia', 'Arthritis']",15,Mumbai,+91 9876543210,9:30 AM - 5:30 PM,INR 734
D041,Dr. Mira Bhatt,"['Leukemia', 'Ascites', 'Prolactinoma', 'Blood Clotting', 'Sciatica (Sciatic Nerve Pain)']",5,Delhi,+91 9876543210,11 AM - 7 PM,INR 672
D042,Dr. Nisha Paul,"['Premenstrual Syndrome (PMS)', 'Hypothyroidism', 'Dyspepsia', 'Anorexia Nervosa', 'Diabetes Mellitus']",22,Mumbai,+91 8765432109,10 AM - 6 PM,INR 950
D043,Dr. Soham Rao,"['Eczema', 'Livedoid Vasculopathy', 'Hernia', 'Genital Herpes', 'Premenstrual Syndrome (PMS)']",5,Hyderabad,+91 9876543210,8 AM - 4 PM,INR 395
D044,Dr. Ruchi Mathur,"['Interstitial Cystitis', 'Ovarian Cysts', 'Tonsillitis', 'Agoraphobia']",18,Mumbai,+91 6543210987,8 AM - 4 PM,INR 1240
D045,Dr. Aditya Malhotra,"['Diaper Rash', 'Congestive Heart Failure (CHF)', 'Osteoporosis', 'Colles Fracture (Broken Wrist)']",11,Pune,+91 5432109876,9:30 AM - 5:30 PM,INR 1433
D046,Dr. Ruchi Mathur,"['Kidney Disease', 'Gangrene']",12,Bangalore,+91 8765432109,9 AM - 5 PM,INR 644
D047,Dr. Arjun Nair,"['Varicose Veins', 'Hernia', 'Dengue Fever']",29,Mumbai,+91 7654321098,9:30 AM - 5:30 PM,INR 710
D048,Dr. Nisha Paul,"['Gallstones', 'Giardiasis', 'Oligozoospermia']",27,Delhi,+91 6543210987,8 AM - 4 PM,INR 995
D049,Dr. Priya Saxena,"['Liver Cirrhosis', 'Chronic Kidney Disease']",26,Delhi,+91 9876543210,11 AM - 7 PM,INR 1175
D050,Dr. Sanya Saxena,"['Ulcerative Colitis', 'Major Depressive Disorder']",7,Bangalore,+91 9876543210,11 AM - 7 PM,INR 1169
